id_aluno;necessidade_especial;id_escola_alocada;id_sala_alocada;etapa_desejada;etapa_sala;horario_desejado;horario_sala
343275;0;40;662;9;9;1;1
343284;0;94;1526;8;8;0;0
343408;0;30;422;8;8;1;1
343419;0;76;1234;6;6;0;0
343425;0;92;1493;6;6;0;0
343429;0;35;566;8;8;1;1
343430;0;97;1582;6;6;0;0
343434;0;88;1410;6;6;0;0
343438;1;36;586;9;9;1;1
343446;0;32;467;6;6;1;1
343501;0;41;692;7;7;1;1
343502;0;47;783;7;7;1;1
343504;0;94;1533;7;7;1;1
343505;0;104;1639;8;8;0;0
343507;0;74;1201;8;8;0;0
343508;0;133;1948;5;5;1;1
343513;0;97;1580;8;8;1;1
343514;0;23;309;5;5;0;0
343518;0;35;567;9;9;0;0
343521;0;66;1046;9;9;1;1
343529;0;74;1212;6;6;1;1
343530;1;26;342;9;9;0;0
343532;0;74;1210;8;8;1;1
343536;0;96;1566;7;7;0;0
343538;0;83;1314;9;9;1;1
343544;0;93;1511;6;6;1;1
343548;0;88;1397;12;12;1;1
343555;0;22;293;8;8;1;1
343559;0;149;2152;8;8;0;0
343562;0;93;1522;9;9;1;1
343566;0;111;1709;8;8;0;0
343571;0;91;1476;7;7;0;0
343577;0;107;1673;6;6;1;1
343599;0;87;1387;6;6;0;0
343685;0;118;1794;9;9;0;0
343696;0;85;1350;9;9;0;0
343697;0;94;1526;8;8;0;0
343760;0;32;471;9;9;1;1
343768;0;86;1367;9;9;1;1
343785;1;89;1449;10;10;0;0
343853;0;84;1337;9;9;0;0
343854;0;41;688;9;9;0;0
343860;0;29;391;10;10;0;0
343862;0;119;1808;9;9;1;1
343990;0;42;2187;9;9;1;1
343992;0;90;1466;12;12;1;1
344048;0;90;1464;12;12;1;1
344049;0;88;1410;6;6;0;0
344066;0;66;1039;9;9;1;1
344067;0;23;302;7;7;0;0
344072;0;76;1233;6;6;0;0
344084;0;71;1142;9;9;0;0
344111;0;25;333;8;8;1;1
344126;0;71;1137;5;5;1;1
344150;0;83;1321;5;5;1;1
344179;0;22;295;7;7;0;0
344203;0;36;593;7;7;1;1
344229;0;25;321;8;8;0;0
344238;0;40;655;7;7;0;0
344239;1;95;1550;8;8;0;0
344241;0;41;677;9;9;1;1
