ID_ALUNO;ID_SALA_ALOCADA;ID_ESCOLA;ETAPA_DESEJADA;ETAPA_OFERECIDA;DISTANCIA_KM;CUSTO_TOTAL
22698;865;243;8;8;15813.44;15.81
22699;683;98;6;6;7776.51;7.78
22700;-1;NA;6;NA;0.00;100.00
22701;813;467;6;6;3697.13;3.70
22702;755;106;5;5;9960.16;9.96
22703;-1;NA;5;NA;0.00;100.00
22704;390;36;7;7;13284.16;13.28
22705;651;204;9;9;16168.28;16.17
22706;773;466;6;6;9615.76;9.62
22707;129;189;4;4;860.70;0.86
22708;414;81;9;9;11698.51;11.70
22709;859;121;10;10;12578.31;12.58
22710;162;84;1;1;6761.38;6.76
22711;23;174;12;12;11129.65;11.13
22712;408;170;3;3;5457.19;5.46
22713;97;24;4;4;9157.89;9.16
22714;583;5;9;9;4477.21;4.48
22715;321;474;8;8;11326.67;11.33
22716;132;247;5;5;5096.05;5.10
22717;716;492;12;12;2558.68;2.56
22718;242;27;9;9;7242.18;7.24
22719;269;489;6;6;8232.52;8.23
22720;68;15;6;6;5449.16;5.45
22721;755;106;5;5;8111.22;8.11
22722;679;246;6;6;920.48;0.92
22723;709;442;10;10;19100.04;19.10
22724;788;142;10;10;4968.92;4.97
22725;336;178;12;12;2753.31;2.75
22726;73;114;1;1;1153.50;1.15
22727;747;293;11;11;13092.73;13.09
22728;458;424;5;5;13171.42;13.17
22729;400;70;5;5;3003.44;3.00
22730;980;94;2;2;17112.17;17.11
22731;61;199;12;12;13511.69;13.51
22732;883;324;5;5;858.11;0.86
22733;98;326;9;9;12432.85;12.43
22734;47;346;8;8;6699.92;6.70
22735;154;130;7;7;11136.17;11.14
22736;144;114;13;13;9643.73;9.64
22737;546;90;4;4;7532.61;7.53
22738;638;346;2;2;15348.06;15.35
22739;710;276;12;12;13068.97;13.07
22740;433;376;12;12;16219.26;16.22
22741;238;162;2;2;5137.91;5.14
22742;977;145;10;10;21078.11;21.08
22743;198;278;1;1;16354.46;16.35
22744;788;142;10;10;10824.67;10.82
22745;493;194;10;10;20593.14;20.59
22746;173;196;11;11;10617.08;10.62
22747;210;483;10;10;3495.18;3.50
22748;236;110;3;3;10418.39;10.42
22749;885;129;5;5;11215.99;11.22
22750;770;239;1;1;2603.34;2.60
22751;913;404;1;1;8105.38;8.11
22752;759;28;7;7;16566.86;16.57
22753;326;312;3;3;3147.42;3.15
22754;24;383;5;5;9007.70;9.01
22755;180;188;4;4;2997.93;3.00
22756;779;45;7;7;1346.17;1.35
22757;770;239;1;1;9601.87;9.60
22758;860;223;8;8;3836.15;3.84
22759;627;246;6;6;14624.52;14.62
22760;527;76;8;8;15556.74;15.56
22761;438;211;10;10;5173.15;5.17
22762;-1;NA;5;NA;0.00;100.00
22763;248;382;7;7;2458.75;2.46
22764;-1;NA;5;NA;0.00;100.00
22765;920;96;11;11;9994.62;9.99
22766;612;494;9;9;5560.65;5.56
22767;515;360;4;4;6760.64;6.76
22768;931;292;13;13;9230.05;9.23
22769;223;354;6;6;15427.39;15.43
22770;669;113;7;7;4661.65;4.66
22771;323;489;5;5;2698.39;2.70
22772;83;219;13;13;2376.09;2.38
22773;430;302;11;11;7873.64;7.87
22774;602;237;10;10;4669.83;4.67
